 Category, Question, Answer
KIDS IN SPORTS,This sport has an under-17 World Cup every 2 years; Haris Seferovic starred for the 2009 champion Switzerland,soccer
KIDS IN SPORTS,"With a mighty leap of 5'1', David Mosely set the U.S. 10 & under record in this event back in 1977",the high jump
LET'S BOUNCE,"In this kid's game, you bounce a small rubber ball while picking up 6-pronged metal objects",jacks
LET'S BOUNCE,"It's a type of bounce house, or a dance made famous by Michael Jackson",the moonwalk
LET'S BOUNCE,Sound navigation& ranging is the full name for this device that bounces radio waves underwater,sonar
LET'S BOUNCE,This device whose name is from the Italian for 'springboard' was perfected in the 1930s,a trampoline
LET'S BOUNCE,This verb for bouncing a basketball sounds like you're slobbering,dribbling
LET'S HIT IT,Aaron Fechter invented this carnival game where you hit a mammal with a mallet,Whack-A-Mole
LET'S HIT IT,Everlast makes these that come in speed and heavy varieties,punching bags
LET'S HIT IT,"Hit this paper mache container, Spanish for 'jug', if you want candy and small gifts",pinata
LET'S HIT IT,"In some casinos, a blackjack dealer must hit with an ace & a 6, known as this type of 17",soft
LET'S HIT IT,This word seen on doors is what a right-handed batter does when he hits the ball to left field,pull
LOST IN SPACE,"Ed White, the first U.S. spacewalker, lost one of these outside Gemini 4; he must've looked like a later 'moonwalker'",a glove
LOST IN SPACE,In 1992 Space Shuttle astronauts delivered ashes of this 'Star Trek' creator into the final frontier,Gene Roddenberry
LOST IN SPACE,"In its years of operation, this Soviet space station released more than 200 objects (mostly trash) into space",Mir
LOST IN SPACE,Piers Sellers lost a tool in space while spreading putty into this Space Shuttle named for Capt. Cook's ship,Discovery
LOST IN SPACE,"While making repairs on the Intl. Space Station, Scott Parazynski lost a needle-nose pair of these",pliers
MATHEM-ATTACK!,"A set of numbers in rows and columns can be used in many ways--for example, to encrypt a code or create 3-D computer graphics; the set shares this name with a 1999 film",a matrix
MATHEM-ATTACK!,Che Guevara probably knew the political-sounding term for the root symbol seen here,radical
MATHEM-ATTACK!,"Half the base times the height gives the area of a triangle; for a cylinder, the area of the base times the height gives this measurement",volume
MATHEM-ATTACK!,The symbol i is used to represent the imaginary square root of this number,-1
MATHEM-ATTACK!,You should answer this one automatically: It's the property that says a = a,reflexive
MEASURING DEVICES,A nilometer measures the height of the water in this,the Nile River
MEASURING DEVICES,A spirometer measures the capacity of these organs,the lungs
MEASURING DEVICES,An odometer measures the distance covered by a vehicle & this device measures how far you've walked,a pedometer
MEASURING DEVICES,The amount of this in a solution can be measured by a saccharometer,sugar
MEASURING DEVICES,The energy from this is measured by a pyrheliometer,the Sun
MEDICINE,"As Franklin D. Roosevelt's blood pressure was 300/190, he suffered from this 1-word condition",hypertension
MEDICINE,"By surgically interrupting the electrical impulses that are causing an abnormal rhythm, the maze procedure is designed to threat this type of heart arrhythmia abbreviated 'A.F.'",atrial fibrillation
MEDICINE,In 1905 German scientist Alfred Einhorn created this first injectable local anesthetic used in dentistry,novocaine
MEDICINE,Micro-Trach is an oxygen delivery system developed by this physician known for his 'maneuver',Henry Heimlich
MEDICINE,The name of this branch of pediatrics that deals with newborn infants literally means 'newborn study',neonatal
MONEY SLANG,"Proverbially, you can 'break' this food, or 'take (it) out of someone's mouth'; earn some dough",bread
MONEY SLANG,The shell of this mollusk is composed chiefly of calcium carbonate,a clam
MONEY SLANG,"We'll give you $200, not $1,000, for this five letter word meaning stately or majestic",grand
MONEY SLANG,"When speaking of Messrs. Netanyahu or Britten, it's all about the first name, pluralized",the Benjamins
MONEY SLANG,You don't get 5 guesses at this winglike appendage to the underwater portion of a hull,a fin
MOVIES & TV,"Of his dialogue, this Han Solo actor said, 'You can type this (stuff), George, but you sure can't say it'",Harrison Ford
MOVIES & TV,"On March 19, 2009 he said, 'I'm excited and honored to introduce my first guest... Barack Obama'",Jay Leno
MOVIES & TV,Tim Robbins played a public TV newsman in 'Anchorman: The Legend of' him,Ron Burgundy
MOVIES & TV,Time magazine said this 2003 Pixar film was 'the ultimate fish-out-of-water story',Finding Nemo
MOVIES & TV,"We were frakkin' sad when this sci fi show had its series finale on March 20, 2009",Battlestar Galactica
MUSICAL TRAINS,"During the 1954-1955 Sun sessions, Elvis climbed aboard this train 'sixteen coaches long'",the 'Mystery Train'
MUSICAL TRAINS,In 1961 James Brown announced 'all aboard' for this train,Night Train'
MUSICAL TRAINS,"Steven Tyler of this band lent his steamin' vocals to 'Train Kept A-Rollin'', first popularized by the Yardbirds",Aerosmith
MUSICAL TRAINS,This band's 'Train In Vain' was a hidden track on its original 1979 'London Calling' album,The Clash
MUSICAL TRAINS,This 'Modern Girl' first hit the Billboard Top 10 with 'Morning Train (Nine To Five)',Sheena Easton
MYTHOLOGY,Cadmus planted these parts of a dragon to raise some troops,teeth
MYTHOLOGY,Daedalus used this substance to fasten the wings to his back,wax
MYTHOLOGY,"Leda laid 2 eggs:  one with Helen & Pollux in it, the other containing Clytemnestra & him",Castor
MYTHOLOGY,"The sister of Orestes, mourning became her",Electra
MYTHOLOGY,"Zeus' father, Cronus, was one of this group of 12",Titans
NAME THE DECADE,"George Orwell, 34 years dead, hits the bestseller list",the 1980s
NAME THE DECADE,Khruschev's 'Secret Speech' denounces Stalin,the 1950s
NAME THE DECADE,Man first reaches the South Pole,the 1910s
NAME THE DECADE,The first controlled nuclear chain reaction,the 1940s
NAME THE DECADE,The World Wide Web gets its first page,the 1990s
NATIONAL MONUMENTS,Castillo de San Marcos in this Florida city is the oldest masonry fort in the continental U.S.,St. Augustine
NATIONAL MONUMENTS,George Custer's men are buried in a cemetery in the national monument named for this river,Little Bighorn
NATIONAL MONUMENTS,Scotts Bluff National Monument lies in western Nebraska on this pioneer trail,Oregon Trail
NATIONAL MONUMENTS,Seminole Indian leader Osceola is buried at this fort where the Civil War began,Fort Sumter
NATIONAL MONUMENTS,This Wyoming monument contains an 865-foot-high fluted column of igneous rock,Devils Tower
NEWS TO ME,"A 7.0 magnitude earthquake in this Caribbean country Jan. 12, 2010 brought a world outpouring of aid",Haiti
NEWS TO ME,"Falcon Heene, who it turned out was safe at home, not flying over Colorado, became known as this 'boy'",the balloon boy
NEWS TO ME,"In a surprise, Ted Kennedy's old Senate seat in this state went to a Republican in a January 2010 election",Massachusetts
NEWS TO ME,This car company has been in the news for widespread recalls of its Corollas & other models,Toyota
NEWS TO ME,"To avoid spreading germs & maybe flu, we learned the sneeze named for this character made famous in an 1897 book",Dracula
NOT A CURRENT NATIONAL CAPITAL,"Belize City, Guatemala City, Panama City",Belize City
NOT A CURRENT NATIONAL CAPITAL,"Bucharest, Bonn, Bern",Bonn
NOT A CURRENT NATIONAL CAPITAL,"Istanbul, Ottawa, Amman",Istanbul
NOT A CURRENT NATIONAL CAPITAL,"Ljubljana, Bratislava, Barcelona",Barcelona
NOT A CURRENT NATIONAL CAPITAL,"Sofia, Sarajevo, Saigon",Saigon
NOTABLE NONHUMANS,"Colo was the first of these great apes born in captivity, in 1956 at the Columbus Zoo",Gorilla
NOTABLE NONHUMANS,"In 1945 this famous scottie was injured in a fight with Blaze, Elliott Roosevelt's mastiff",Fala
NOTABLE NONHUMANS,"In 1964 he lifted his beagles Him & Her by the ears on the White House lawn, provoking protest",Lyndon Johnson
NOTABLE NONHUMANS,This favorite horse of Alexander the Great sometimes wore golden horns in battle,Bucephalus
NOTABLE NONHUMANS,"This Nazi dictator sometimes dined alone with Blondi, his Alsatian",Adolf Hitler
OFF TO A GOOD START,It's the go-ahead in a kid's game & for a car at an intersection,a green light
OLD FOLKS IN THEIR 30s,Elon Musk is now making rockets & electric cars; before that he co-founded & sold this electronic payment system,PayPal
OLD FOLKS IN THEIR 30s,goop.com is a lifestyles website from this Oscar-winning actress; the g & p represent her initials,Gwyneth Paltrow
OLD FOLKS IN THEIR 30s,In 2008 David Gregory became moderator of this NBC Sunday morning news show,Meet the Press
OLD FOLKS IN THEIR 30s,Linus Torvalds is the father of this operating system used on cell phones & supercomputers,Linux
OLD FOLKS IN THEIR 30s,"The district of conservative rep. Patrick McHenry in this state includes Mooresville, a home of NASCAR",North Carolina
ON THE RADIO,"Call letters east of the Mississippi generally start with W; in the west, most start with this",K
ON THE RADIO,Detroit-born broadcaster who created 'American Top 40' & now has his own weekly 'Countdown',Casey Kasem
ON THE RADIO,"Radio abbreviation that precedes the name of rap figures Quik, Pooh & Jazzy Jeff",DJ
ON THE RADIO,Robin Quivers is the radio consort of this self-proclaimed  'King of All Media',Howard Stern
ON THE RADIO,"The AAA format, featuring artists like the Cranberries & Tom Petty, stands for adult album this",alternative
PARLEZ VOUS?,"Duck, duck, l'oie; (l'oie of course referring to this other feathered friend)",a goose
PARLEZ VOUS?,Huitieme' is French for this ordinal number,eighth
PARLEZ VOUS?,"If your mate from Marseilles says he's getting to LAX via 'Sud-Ouest', pick him up at this carrier",Southwest
PARLEZ VOUS?,"Je ne sais pas' means this, but you still get credit if you phrase it in the form of a question",I don't know'
PARLEZ VOUS?,"When mom tells you to do something 'Maintenant!', she means this",now
PARTS OF PEACH,5-letter word for the hard interior of a peach,the stone
PARTS OF PEACH,"If this part of a peach is downy or fuzzy, the fruit's called a peach; if it's smooth, a nectarine",the skin
PARTS OF PEACH,Peaches are more than 80% this compound,H2O
PARTS OF PEACH,"These parts of a peach tree are glossy green, pointed & lance shaped",leaves
PARTS OF PEACH,These parts of a peach tree grow at nodes along the shoots of the previous season's growth; they're usually pink,blossoms
PEOPLE IN HISTORY,"After a 15-year stay in England, this proprietor of Pennsylvania returned to his colony in 1699",William Penn
PEOPLE IN HISTORY,First Lady Helen Taft led a fund-raising drive for a memorial to this 1912 marine disaster,Sinking of the Titanic
PEOPLE IN HISTORY,In 1801 this onetime VP compiled 'A Manual of Parliamentary Practice' still used in the U.S. Senate,Thomas Jefferson
PEOPLE IN HISTORY,This Chiricahua Apache was a popular attraction at the 1904 World's Fair in St. Louis,Geronimo
PEOPLE IN HISTORY,This young man put his savings into a small Cleveland refinery in 1862 & eventually had an oil monopoly,John D. Rockefeller
PLAY HEROINES,Barbara Undershaft,Major Barbara
PLAY HEROINES,Blanche DuBois,A Streetcar Named Desire
PLAY HEROINES,Emily Webb of Grover's Corners,Our Town
POETS,"Between 1842 & 1885, he repeatedly revised his 'Idylls of the King'",Alfred Lord Tennyson
POETS,"For much of the winter of 1794-95, he served as acting supervisor for Dumfries, Scotland",Robert Burns
POETS,"He once wrote, 'I choose to be a plain New Hampshire farmer'",Robert Frost
POETS,Her 'I Heard a Fly Buzz' may have been based on a chapter in 'The House of the Seven Gables',Emily Dickinson
POETS,"On Feb. 12, 1959, the 150th anniversary of Lincoln's birth, he addressed a joint session of Congress",Carl Sandburg
PRESIDENTIAL STATES OF BIRTH,1 of the 2 born in Vermont,Coolidge (or Chester Arthur)
PRESIDENTIAL STATES OF BIRTH,California,Nixon
RADIO DISNEY,Everybody Else' knows these huggable toys precede 'On Fire' in the name of a Radio Disney top 30 band; do you?,Care Bears
RADIO DISNEY,"I Never Told You' this alliteratively named singer hit Disney's Top 30 with 'Fallin' For You'; wait, I just did",Colbie Caillat
RADIO DISNEY,Lead singer Ryan Tedder of this band has 'All The Right Moves',OneRepublic
RADIO DISNEY,Party In The U.S.A.' is by this singer who also plays a young lady named Hannah,Miley Cyrus
RADIO DISNEY,The songs on 'Under My Skin' are...deeper than those on 'Let Go'' said this Canadian on Radio Disney's website,Avril Lavigne
RHYMES WITH SMART,A graphic representation of information,a chart
RHYMES WITH SMART,Blood pumper,heart
RHYMES WITH SMART,Composer Wolfgang,Mozart
RHYMES WITH SMART,It can be a separating line in your hair or a role in a play,a part
RHYMES WITH SMART,"Small, slender missile thrown at a board in a game",a dart
ROYAL FEMALE NICKNAMES,Mark Antony called her 'The Queen of Queens',Cleopatra
ROYAL FEMALE NICKNAMES,Prime Minister Tony Blair dubbed her 'The People's Princess',Princess Diana
ROYAL FEMALE NICKNAMES,She was 'The Untamed Heifer' & 'The Virgin Queen',Elizabeth I
ROYAL FEMALE NICKNAMES,The 19th century's 'Widow of Windsor',Queen Victoria
ROYAL FEMALE NICKNAMES,The Catholic' of 15th century Spain,Queen Isabella
RVs,"I'm behind the wheel of the very first motor home, from the company whose name has become a synonym for 'motor home'; since 1967, they've sold over 400,000 of them",Winnebago
RVs,One of the first times a movie star received a fancy trailer as a perk was in 1931; Paramount gave a Chevy house car to this sexy star as she left the stage to make movies like 'She Done Him Wrong',Mae West
RVs,The GMC Motorhome from the '60s & 70s was among the first models to have this innovation that helps with traction by putting the weight over the wheels that do the work,front-wheel drive
SCIENCE,6 elements once known as inert gases are now known by this aristocratic name,noble gases
SCIENCE,"At sea level at 70 degrees this travels 1,129 feet per second; it speeds up over 1 foot per sec. for each rising degree",sound
SCIENCE,"In bending an elastic solid, stress is the force causing deformation & this is the 6-letter term for the deformation",strain
SCIENCE,"The largest tree, the General Sherman in California, is this type, also called a Sierra Redwood",a sequoia
SCIENCE,"Veterinarians refer to this area of an animal's body as the posterior or this region, from the Latin for 'the tail'",the caudal region
SCIENCE CLASS,99.95% of the mass of an atom is in this part,the nucleus
SCIENCE CLASS,"During this plant process, carbon dioxide & water combine with light energy to create oxygen & glucose",photosynthesis
SCIENCE CLASS,Lava & igneous rock are formed from this hot liquid rock material found under the earth's crust,magma
SCIENCE CLASS,"Of the 6 noble gases on the periodic table, it is the lightest",helium
SCIENCE CLASS,The wedge is an adaptation of the simple machine called the inclined this,plane
SEE & SAY,Say the name of these big trees; it has a color in it,redwood
SEE & SAY,"Say the name of this bug; don't worry, it doesn't breathe fire",the dragonfly
SEE & SAY,Say the name of this man you see shaking hands with the Premier of China,Ronald Reagan
SEE & SAY,Say the name of this type of mollusk you see,an octopus
SEE & SAY,Say this state that was admitted to the Union in 1859,Oregon
SPORTS LEGENDS,"If Joe DiMaggio's hitting streak had gone one more game in 1941, this company would have given him a $10,000 contract",H.J. Heinz (Heinz 57 Varieties)
STATE SUPERLATIVES,A valley at 282 feet below sea level in this state is the lowest point in the Western Hemisphere,California
STATE SUPERLATIVES,"Considered the healthiest state in 2006, it's also home to the Mayo Clinic",Minnesota
STATE SUPERLATIVES,"It pumps more than one million barrels of oil a day, more than any other state",Texas
STATE SUPERLATIVES,Its Boeing manufacturing plant in Everett is the world's largest building by volume,Washington
STATE SUPERLATIVES,"With 6,640 miles of coast, this state has the longest shoreline",Alaska
TAINTED GOV,"Elected to the Senate in 1930, he refused to resign as Louisiana's gov. until '32, when his handpicked crony got the gig",Huey Long
TAINTED GOV,In 2006 this Illinois governor was busted for racketeering; what's in the water there?,George Ryan
TAINTED GOV,In 2010 a House committee charged this veteran Harlem congressman with ethics violations,(Charlie) Rangel
TAINTED GOV,"In 2010 it was revealed that Robert Rizzo made $800,000 a year as the city this of Bell, Calif., population 37,000",manager
TAINTED GOV,"In 2010 this Illinois governor was tried on corruption charges, but convicted on only 1 count",Blagojevich
TAKE A PILL,"Antabuse is designed to make you feel really, really bad after ingesting this",alcohol
TAKE A PILL,Estramustine is a chemotherapy agent for this glandular cancer in men,prostate cancer
TAKE A PILL,"Going on a cruise? You might pick up this Pfizer product, the 'original' or 'less drowsy' formula",Dramamine
TAKE A PILL,Pravastatin aims to block your body's ability to make this,cholesterol
TAKE A PILL,This tranquilizer that sounds like a village was introduced in 1955 & became the USA's bestselling drug,Miltown
TEEN' SCENE,"A holder for liquid, or a military base's general store",a canteen
TEEN' SCENE,"Golfing 'hole' with a bar (where you can't go), or the amendment granting women's suffrage",19th
TEEN' SCENE,"If you're triskaidekaphobic, you're afraid of this number, & not just on a Friday",thirteen
TEEN' SCENE,Number of lines in Shakespeare's poem that starts 'Shall I compare thee to a summer's day?',14
TEEN' SCENE,"Numerically speaking, read up on 'Fun Stuff', 'Fashion', 'Health' & 'Stars' at this magazine.com",seventeen.com
TELEVISION,"Character seen here, his action-packed journeys are legendary:",Hercules (Kevin Sorbo)
TELEVISION,"Freddy's Nightmares', a horror anthology that debuted in 1988, was based on this movie series",Nightmare on Elm Street
TELEVISION,"Jack Wagner, formerly of 'General Hospital', now plays Dr. Peter Burns on this Fox drama",Melrose Place
TELEVISION,This crime drama with Robert Wagner & Stefanie Powers was created by Sidney Sheldon,Hart to Hart
TELEVISION,This Sunday night series is subtitled 'The New Adventures of Superman',Lois & Clark
THAT OLD-TIME RELIGION,"Ali, who married this man's daughter Fatima, is considered by Shia Muslims to be his true successor",Muhammed
THAT OLD-TIME RELIGION,"He's considered the author of the Pentateuch, which is hard to believe, as Deuteronomy continues after his death",Moses
THAT OLD-TIME RELIGION,In 1534 he & his buddy Francis Xavier founded the Society of Jesus,(St. Ignatius) Loyola
THAT OLD-TIME RELIGION,Philadelphia got its start as a colony for this religious group of which William Penn was a member,the Quakers
THAT OLD-TIME RELIGION,With Mary I's accession in 1553 he ran to Geneva; he returned in 1559 & reformed the Church of Scotland,(John) Knox
THE BRITISH THEATRE,"Richard Attenborough, who was in the original 1952 cast of this play, helped celebrate its performance No. 20,000 in 2000",The Mousetrap
THE CIRCUS,Antoinette Concello's triple somersault helped make her the 'Queen of' this 'flying' apparatus,trapeze
THE CIRCUS,"It's the familiar term for a circus' largest tent, where the main show appears",the big top
THE CIRCUS,Pink is the most popular color of this fluffy confection made from spun sugar,cotton candy
THE CIRCUS,This steam whistle organ draws crowds to circus parades because it can be heard from miles away: [audio clue],calliope
THE CIRCUS,"Trainers shout, 'Tail Up!' when they want these performers to follow each other trunk to tail",Elephants
THE CIVIL WAR,"His first act after being sworn in as president of the Confederacy was to send a peace commission to Washington, D.C.",Jefferson Davis
THE CIVIL WAR,In Feb. 2005 a reenactment was staged for this 140th anniversary of this fort's reoccupation by Union troops,Fort Sumter
THE CIVIL WAR,"On Sept. 2, 1864 this general sent a wire saying, 'Atlanta is ours, and fairly won'",Sherman
THE CIVIL WAR,Robert E. Lee saved this capital from capture with his June 1862 attack on McClellan's forces,Richmond
THE CIVIL WAR,"Tired of eating mule jerky, Vicksburg fell in July 1863 after a 6-week one of these military tactics",a siege
THE COMPANY LINE,Edward Teller & this man partnered in 1898 to sell high fashions to women,(Paul) Bonwit
THE COMPANY LINE,"In 1963, live on 'The Art Linkletter Show', this company served its billionth burger",McDonald's
THE COMPANY LINE,"The Kirschner brothers, Don & Bill, named this ski company for themselves & the second-highest mountain",K2
THE COMPANY LINE,"This company's Accutron watch, introduced in 1960, had a guarantee of accuracy to within one minute a  month",Bulova
THE COMPANY LINE,This housewares store was named for the packaging its merchandise came in & was first displayed on,Crate & Barrel
THE EYES HAVE IT,A blow with a whip,Lash
THE EYES HAVE IT,A hollow area that holds a light bulb,Socket
THE EYES HAVE IT,"A student, or a minor in Roman law",Pupil
THE EYES HAVE IT,Flower seen here (that fits the category),Iris
THE EYES HAVE IT,People say these are what you need to make it in Hollywood,Contacts
THE 'I's HAVE IT,"Arabic for 'son of', it comes before names like Saud",Ibn
THE 'I's HAVE IT,"From the Latin for 'to overhang', it means 'likely to happen at any moment'",Imminent
THE 'I's HAVE IT,"Some scientists believe that the universe is undergoing expansion called this, also an economic term",Inflation
THE 'I's HAVE IT,Style of the 1877 painting seen here,Impressionism
THE 'I's HAVE IT,This term for a fluid can also mean 'to sign' as a contract,Ink
THE MAP OF EUROPE,"Bordering Italy, Austria, Hungary & Croatia, it's one of the world's newest independent countries",Slovenia
THE OBLIGATORY POETRY CATEGORY,The one word quothed by Edgar Allan Poe's raven,Nevermore!'
THE REDCOATS ARE COMING!,"On Sept. 5, 1781, 24 of this country's ships engaged British ships in Cheaspeake Bay & turned them back",France
THE SOLAR SYSTEM,Objects that pass closer to the sun than Mercury have been named for this mythological figure,Icarus
THEATRE CROSSWORD CLUES 'M',Colchian jilted by Jason (5),Medea
THEATRE CROSSWORD CLUES 'M',Faust's fiendish foe (14),Mephistopheles
THEATRE CROSSWORD CLUES 'M',It 'Becomes Electra' (8),Mourning
THEATRE CROSSWORD CLUES 'M',Lerner & Loewe's 'Lusty Month' (3),May
THEATRE CROSSWORD CLUES 'M',Patrick Dennis' 'Auntie' (4),Mame
TIMELESS TV,2010's 'When Love Is Not Enough' was the 240th presentation in this series from a greeting card company,Hallmark Hall of Fame
TIMELESS TV,In 1948 Douglas Edwards became the first anchor of this network's Evening News,CBS
TIMELESS TV,"Originally a half hour, this soap started in 1963 & featured Nurse Jessie Brewer",General Hospital
TIMELESS TV,September 2010 brought the 45th edition of this comedian's telethon,Jerry Lewis
TIMELESS TV,"Shown Saturday afternoons on ABC, this sport's tour outdrew college football & moved to ESPN in 1997",the pro bowling tour
TRANSPORTATION,"Cabbies in this Eur. city spend 2 years gaining 'the knowledge', mental maps needed to get a license",London
TRANSPORTATION,"In 'Sixteen Candles', Molly Ringwald says, 'I loathe' this method of transport",the bus
TRANSPORTATION,Since 1899 these stalwart animals used in transport have served as the mascots of the Army Corps of Cadets,mules
TRANSPORTATION,The bestselling passenger car of all time is this company's Corolla,Toyota
TRANSPORTATION,"The transport for a 19th century double date might have been a barouche, one of these",a carriage
TRAVEL & TOURISM,Andrea Palladio's 1554 book on 'The Antiquities of' this city was the standard guidebook for some 200 years,Rome
TRAVEL & TOURISM,Jomo Kenyatta International Airport serves this world capital,"Nairobi, Kenya"
TRAVEL & TOURISM,The Cinderella Castle Mystery Tour is a highlight of this Asian city's Disneyland,Tokyo
TRAVEL & TOURISM,"The home of silk merchant Jim Thompson, who disappeared in 1967, is a tourist attraction in this Thai city",Bangkok
TRAVEL & TOURISM,We're not stringing you along: this capital of the Czech Republic is famous for its puppet theatres,Prague
TV ACTORS & ROLES,"(Hi, I'm Wallace Langham)  I played Don Kirshner in VH1's TV movie about this quartet who sang 'Daydream Believer'",The Monkees
TV ACTORS & ROLES,Barbra Streisand knows he played Lt. Col. Bill 'Raider' Kelly on 'Pensacola: Wings of Gold',James Brolin
TV ACTORS & ROLES,"On 'Saturday Night Live', he's famous for playing Craig the Cheerleader, Janet Reno & moi",Will Ferrell
TV ACTORS & ROLES,"Once Tommy Mullaney on 'L.A. Law', John Spencer now plays White House chief of staff Leo McGarry on this series",The West Wing
TV ACTORS & ROLES,Teri Hatcher looked 'shipshape' as one of the singing 'mermaids' who jumped on board this cruisin' series in 1985,The Love Boat
U.S. WINTER OLYMPIANS,His 'Bode' of work includes 2 Alpine skiing silver medals in 2002,Bode Miller
U.S. WINTER OLYMPIANS,"In 1998, this U.S. skater was 2nd at Nagano; in 2002, she was 3rd here in Utah",Michelle Kwan
U.S. WINTER OLYMPIANS,In 2002 Vonetta Flowers & Jill Bakken won gold in the 2-woman version of this high-speed sport,the bobsled
U.S. WINTER OLYMPIANS,"Life has its ups & downs for Travis Mayer, a 2002 medalist in the event named for these little hills on the slopes",moguls
U.S. WINTER OLYMPIANS,"Mike Eruzione of Winthrop, Mass. was captain of the miraculous 1980 Olympic team in this sport",hockey
WHAT'S IN A NAME?,"Previously attached to Theo- & Isa-, it became popular by itself after appearing in 'David Copperfield'",Dora
WHAT'S IN A NAME?,This feminine form of Rex is from the Latin for 'queen',Regina
WHAT'S IN A NAME?,This name shared by great & terrible rulers is a Russian variation of John,Ivan
WHAT'S IN A NAME?,This Welsh form of Margaret was among the USA's top 10 girls' names of the 1990s,Megan
WHAT'S IN A NAME?,"Yeah, baby!  Meaning 'magnificent', this Texas-sounding name comes with certain 'Powers'",Austin
WORD ORIGINS,"A type of ear implant to help the deaf, it's from the Greek for 'snail'",cochlear
WORD ORIGINS,"From the Latin for 'much writing', it's another name for a lie detector test",a polygraph
WORD ORIGINS,"This adjective meaning deceptive or sneaky is from the Latin de via, meaning 'out of the way'",devious
WORD ORIGINS,This compass direction may come from the Proto-Germanic for 'to the left of the rising sun',north
WORD ORIGINS,This New York island's name may come from the Algonquian word for 'island',Manhattan
WORDS OF THE WRITER,'...Why look'st thou so?'--'With my crossbow I shot the albatross'',Samuel Taylor Coleridge
WORDS OF THE WRITER,"'Do all lawyers defend n-negroes, Atticus?'  'Of course they do, Scout''",Harper Lee
WORDS OF THE WRITER,"For never man had a more faithful, loving, sincere servant, than Friday was to me'",Daniel Defoe
WORDS OF THE WRITER,I beheld the wretch--the miserable monster whom I had created',Mary Shelley
WORDS OF THE WRITER,"Take thy beak from out my heart, and take thy form from off my door!'",Edgar Allan Poe
WORLD BOOK DESCRIBES THE 'G' MAN,American poet... became known as a leader of the Beat literary movement of the 1950s',(Allen) Ginsberg
WORLD BOOK DESCRIBES THE 'G' MAN,"In 1997, the House (of Reps.) voted to reprimand him... It marked the first time the House had reprimanded a Speaker'",Gingrich
WORLD BOOK DESCRIBES THE 'G' MAN,One of the most original and provocative American architects working today',(Frank) Gehry
WORLD BOOK DESCRIBES THE 'G' MAN,"See Simon, Paul'",(Art) Garfunkel
WORLD BOOK DESCRIBES THE 'G' MAN,"Served under the Apache leaders Cochise and Mangas Coloradas... in 1894, he was moved to Fort Sill",Geronimo
WORLD FACTS,"A humid city, Rio de Janeiro lies just north of this tropic line",the Tropic of Capricorn
WORLD FACTS,"Discovered by David Livingstone, Botswana's Lake Ngami lies in the northern part of this desert",Kalahari Desert
WORLD FACTS,In area this country whose capital is now called Yangon is the largest in mainland southeast Asia,Myanmar (Burma)
WORLD FACTS,"The lowest river in the world, it's revered by Jews, Christians & Muslims alike",The River Jordan
WORLD FACTS,This isthmus connects North & South America,Isthmus of Panama
X's & 'O's,Around 100 A.D. Tacitus wrote a book on how this art of persuasive speaking had declined since Cicero,oratory
X's & 'O's,"Cross-country skiing is sometimes referred to by these 2 letters, the same ones used to denote 90 in Roman numerals",XC
X's & 'O's,"The shorter glass seen here, or a quaint cocktail made with sugar & bitters",an old-fashioned
X's & 'O's,This 1797 imbroglio began when 3 French agents demanded a huge bribe from U.S. diplomats,the XYZ Affair
X's & 'O's,"This stiff silken fabric is favored for bridal gowns, like Christina Applegate's in 2001",organza
YOU'RE UNDER A 'REST',A braced framework for carrying a railroad over a chasm,a trestle
YOU'RE UNDER A 'REST',Any mountain's summit,crest
YOU'RE UNDER A 'REST',Eastern European capital city of more than 2.2 million,Bucharest
YOU'RE UNDER A 'REST',Quickly! (to an Italian),Presto
YOU'RE UNDER A 'REST',"The son of Agamemnon, he avenged his father's death by killing his mother Clytemnestra",Orestes
